threshold,tn,fp,fn,tp,tn_value,fp_value,fn_value,tp_value,business_value,avg_value_per_vehicle,recall,f2,precision,f1,f05,positive_rate,fn_rate,fp_rate,predicted_bad_buy,predicted_good_buy,roc_auc,average_precision
0.36,6388,6414,312,1483,0,-5772600,0,3707500,-2065100,-141.47427553606906,0.8261838440111421,0.4918087152616568,0.18779283272128655,0.3060255881139084,0.22211904262648655,0.5410015756662327,0.17381615598885794,0.5010154663333855,7897,6700,0.7677792771759635,0.4431968904841776
0.35,6073,6729,282,1513,0,-6056100,0,3782500,-2273600,-155.75803247242584,0.8428969359331476,0.49053300479834006,0.18357194855617567,0.30148450732290527,0.21761643126312458,0.5646365691580462,0.15710306406685237,0.5256209967192627,8242,6355,0.7677792771759635,0.4431968904841776
0.34,5810,6992,263,1532,0,-6292800,0,3830000,-2462800,-168.71959991779133,0.8534818941504179,0.4877738155883851,0.17972782731112155,0.2969279968989243,0.2134239781560837,0.5839556073165719,0.14651810584958216,0.5461646617715982,8524,6073,0.7677792771759635,0.4431968904841776
0.33,5514,7288,240,1555,0,-6559200,0,3887500,-2671700,-183.03075974515312,0.8662952646239555,0.48523996754665166,0.17584530136831392,0.29234818574920096,0.20919094896009902,0.6058094128930602,0.13370473537604458,0.5692860490548352,8843,5754,0.7677792771759635,0.4431968904841776
0.32,5233,7569,216,1579,0,-6812100,0,3947500,-2864600,-196.24580393231486,0.8796657381615599,0.4835252327290544,0.1726060341058155,0.2885863108836699,0.20566858571912366,0.6267041172843735,0.1203342618384401,0.5912357444149352,9148,5449,0.7677792771759635,0.4431968904841776
0.31,4930,7872,195,1600,0,-7084800,0,4000000,-3084800,-211.33109543056793,0.8913649025069638,0.48042277203939465,0.16891891891891891,0.2840152658205379,0.201597661467127,0.6489004589984243,0.10863509749303621,0.6149039212623028,9472,5125,0.7677792771759635,0.4431968904841776
0.3,4620,8182,175,1620,0,-7363800,0,4050000,-3313800,-227.019250530931,0.9025069637883009,0.4769756212460252,0.16527239338910427,0.27938259894800377,0.1975465209862693,0.6715078440775502,0.09749303621169916,0.639118887673801,9802,4795,0.7677792771759635,0.4431968904841776
0.29,4361,8441,161,1634,0,-7596900,0,4085000,-3511900,-240.59053230115777,0.9103064066852368,0.47348594610257894,0.16218362282878412,0.27531592249368153,0.19408480817199192,0.6902103171884634,0.08969359331476323,0.6593501015466333,10075,4522,0.7677792771759635,0.4431968904841776
0.28,4042,8760,142,1653,0,-7884000,0,4132500,-3751500,-257.0048640131534,0.920891364902507,0.46978912067299494,0.15874387784500144,0.27080602883355176,0.19023177664740948,0.7133657600876893,0.07910863509749304,0.6842680831120137,10413,4184,0.7677792771759635,0.4431968904841776
0.27,3779,9023,134,1661,0,-8120700,0,4152500,-3968200,-271.8503802151127,0.9253481894150418,0.4649014778325123,0.15546611755896667,0.26620722814328074,0.18649929262760773,0.7319312187435775,0.07465181058495822,0.7048117481643493,10684,3913,0.7677792771759635,0.4431968904841776
